Feature,Droped_Attrib,acc_,acc_after,FPR_diff,FPR_diff_after,SPD,SPD_after,DIR,DIR_after,AOD,AOD_after,FPR,FPR_after,SP,SP_after,Pre,Pre_after,Re,Re_after,F1,F1_after
education,['loan'],0.5548099106991011,0.33364498801513265,0.0,0.044000000000000004,0.11549999999999999,0.058,0.81,1.07175,0.057749999999999996,0.022000000000000002,0.0,0.6665,0.555,0.6665,1.0,0.0,0.555,0.0,0.70225,0.0
housing,None,0.5729522642895878,0.30700633417083006,0.0,0.12675,0.23525000000000001,0.18675,1.919,1.2205,-0.11762500000000001,0.063375,0.0,0.69275,0.573,0.69275,1.0,0.0,0.573,0.0,0.71875,0.0
housing,['age'],0.5835314767217618,0.39078181337834206,0.0,0.04699999999999999,0.20833333333333334,0.131,1.858666666666667,1.0796666666666666,-0.10416666666666667,0.023499999999999997,0.0,0.6093333333333333,0.5833333333333334,0.6093333333333333,1.0,0.0,0.5833333333333334,0.0,0.7243333333333334,0.0
housing,['balance'],0.5850222316347017,0.3961659120639107,0.0,0.02366666666666667,0.20666666666666667,0.11766666666666666,1.9083333333333332,1.015,-0.10333333333333333,0.011833333333333335,0.0,0.604,0.5850000000000001,0.604,1.0,0.0,0.5850000000000001,0.0,0.725,0.0
housing,['default'],0.5862167073649442,0.3266071541261422,0.0,0.06566666666666666,0.21,0.14566666666666667,1.8869999999999998,1.0933333333333335,-0.105,0.03283333333333333,0.0,0.673,0.5863333333333334,0.673,1.0,0.0,0.5863333333333334,0.0,0.7263333333333333,0.0
housing,['duration'],0.40689560383729667,0.33224768939673494,0.0,0.17233333333333334,0.6783333333333333,0.18366666666666664,280.3523333333333,1.3156666666666668,-0.33916666666666667,0.08616666666666667,0.0,0.6676666666666667,0.40700000000000003,0.6676666666666667,1.0,0.0,0.40700000000000003,0.0,0.572,0.0
housing,['education'],0.5664560490689667,0.3603139249076668,0.0,0.05500000000000001,0.22475,0.1295,1.8765,1.10975,-0.112375,0.027500000000000004,0.0,0.6395,0.5665,0.6395,1.0,0.0,0.5665,0.0,0.71225,0.0
housing,['loan'],0.5548099106991011,0.2920053955968849,0.0,0.14,0.217,0.202,1.9104999999999999,1.237,-0.1085,0.07,0.0,0.70775,0.555,0.70775,1.0,0.0,0.555,0.0,0.70225,0.0
job,None,0.5729522642895878,0.27966655756747305,0.0,0.034,0.14425,0.0775,1.3895,1.0615,-0.072125,0.017,0.0,0.7202500000000001,0.573,0.7202500000000001,1.0,0.0,0.573,0.0,0.71875,0.0
job,['age'],0.5722812240287765,0.30520940627577064,0.0,0.02,0.1455,0.0365,1.41925,1.0375,-0.07275,0.01,0.0,0.69475,0.57225,0.69475,1.0,0.0,0.57225,0.0,0.7182499999999999,0.0
