"Swap 
 Percentage",Measurement,Feature,age,campaign,loan,housing,balance,default,job,duration,education,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
70%,"Jensen-Shannon
 divergence",education,-,0.0459/0.058,-,-,-,-,-,-,-,,0.0628011858078921,0.0628011858078921,0.091819674451383,0.10394816788980592,[],[0.0580369772869818],[0.10394816788980592]
10%,"Hellinger
 distance",default,0.3727/0.3172,0.2742/0.629,-,0.3393/0.3923,0.3077/0.391,-,0.3573/0.1575,0.2686/0.564,0.3971/0.1557,,0.3799585419101068,0.3799585419101068,1.683345906794594,4.9237872243224965,[],"[0.3172471490721801, 0.6289746298666709, 0.3923026295853739, 0.39104133382008227, 0.15750287957360176, 0.564007926833015, 0.15569818101805064]","[0.6899575603152094, 0.9032131718424358, 0.7316489065343614, 0.6987236450847794, 0.514802382851642, 0.8326045244370717, 0.5528370332569965]"
10%,"Wasserstein
 distance",default,0.002/0.0014,0.0011/0.0039,-,0.0017/0.0017,0.0014/0.0012,-,0.0018/0.0004,0.0011/0.0015,0.0022/0.0003,,0.00205316758170459,0.00205316758170459,0.007228717623656065,0.02164330771490106,[],"[0.00143437145700328, 0.0038678629913005504, 0.0017298991477424802, 0.00116715116107348, 0.00035156323651398, 0.0014908981008197497, 0.00030935398944943]","[0.00341718609618115, 0.00492261566212998, 0.0034173875723007797, 0.00254522263489491, 0.00217977013838322, 0.0026017996477413, 0.00255932596326972]"
10%,"Total variation
 distance",default,0.0383/0.0281,0.0218/0.0935,-,0.0352/0.0404,0.0239/0.03,-,0.0362/0.0071,0.0196/0.0597,0.041/0.0063,,0.039795871213541424,0.039795871213541424,0.17228625037912662,0.7459292409963177,[],"[0.028100295185166917, 0.09345921695002654, 0.04042637454492369, 0.02998467943938553, 0.007056491319369219, 0.05966594774339897, 0.0062877531488995195]","[0.09452699105484261, 0.20874334879112616, 0.11600663299990574, 0.08386609059114103, 0.05029843752491075, 0.1389337665858242, 0.05355397344856727]"
10%,"Jensen-Shannon
 divergence",default,0.023/0.0196,0.0169/0.0386,-,0.0209/0.0241,0.0191/0.0243,-,0.022/0.0098,0.0167/0.0349,0.0246/0.0097,,0.023448210661842186,0.023448210661842186,0.10393957603401077,0.3042110774135929,[],"[0.01962286447401318, 0.03863500199243358, 0.024143950876039606, 0.024268465378630026, 0.00975481442359635, 0.03488733248820296, 0.00967030111142147]","[0.04264011532080125, 0.055533507398562915, 0.045018315577087395, 0.04341047960270726, 0.03178748009819703, 0.051594929189836686, 0.03422625022640035]"
30%,"Hellinger
 distance",default,0.6614/0.5715,0.4892/1.1227,-,0.6066/0.6943,0.5858/0.706,-,0.6416/0.2808,0.4369/0.9849,0.6938/0.2757,,0.6795983638416407,0.6795983638416407,2.997505643766772,8.751066051058505,[],"[0.5714553795935131, 1.1227278586962788, 0.6942826658890049, 0.7059533114729597, 0.28080581348086875, 0.9849347170083422, 0.2756548137092959]","[1.232825605950004, 1.6119555559296928, 1.300837266128498, 1.29170808530858, 0.9224256974792213, 1.4218551534671864, 0.9694586867953228]"
30%,"Wasserstein
 distance",default,0.0062/0.0046,0.0034/0.0131,-,0.0053/0.0054,0.0049/0.0045,-,0.0058/0.0009,0.0027/0.0041,0.0069/0.001,,0.00652503079517046,0.00652503079517046,0.023352240753944084,0.06881091986055428,[],"[0.00461244317594452, 0.013093933015392559, 0.005386615165660561, 0.00451405986827288, 0.00094221566575308, 0.00413491958788315, 0.0009702334386405]","[0.01080005183974818, 0.01646899801031158, 0.010688207408833101, 0.009393798893692039, 0.00673611480726555, 0.00687698439166623, 0.007846764509037601]"
30%,"Total variation
 distance",default,0.1188/0.0905,0.0745/0.2515,-,0.1075/0.1155,0.0815/0.1064,-,0.1097/0.0203,0.0398/0.1733,0.124/0.0179,,0.12308890822543506,0.12308890822543506,0.510832664992326,2.2067836016796103,[],"[0.09050747699506859, 0.251463340058531, 0.11553766190418233, 0.10643152569330097, 0.02033910658818109, 0.17329733928988705, 0.017911063004631078]","[0.2997878738115588, 0.5774147936135611, 0.33859231358238046, 0.29434964486034254, 0.15041380780291264, 0.38639659889679734, 0.15982856911205762]"
30%,"Jensen-Shannon
 divergence",default,0.0402/0.0349,0.0296/0.0677,-,0.0368/0.0425,0.036/0.0434,-,0.0391/0.0173,0.0273/0.0606,0.0422/0.0172,,0.04125526545738645,0.04125526545738645,0.1830745936071567,0.5348729348394696,[],"[0.03485260876308623, 0.06774721853862171, 0.04245139154516098, 0.04344375831076617, 0.017348891402649995, 0.06062965067921784, 0.01716513706003757]","[0.07502917426358534, 0.09739292092995164, 0.07924247188658932, 0.07948596909197511, 0.05642734816799131, 0.08797391462657578, 0.059321135872801134]"
50%,"Hellinger
 distance",default,0.8529/0.749,0.6335/1.4805,-,0.7955/0.8709,0.7381/0.8932,-,0.8161/0.3666,0.6065/1.2554,0.8774/0.3204,,0.8691411547117713,0.8691411547117713,3.8371621641381974,11.256151737783888,[],"[0.74895646307799, 1.4805260247604888, 0.8709134816929233, 0.8932404440526472, 0.3665994486941804, 1.2553730808869443, 0.3204330756876782]","[1.6018712943694966, 2.1139831002718124, 1.666440690570763, 1.6313489970192527, 1.1827477345927044, 1.8618808461755787, 1.1978790747842796]"
50%,"Wasserstein
 distance",default,0.0103/0.008,0.0056/0.0246,-,0.009/0.0077,0.0078/0.0075,-,0.0094/0.0015,0.0052/0.0071,0.011/0.0012,,0.01077188295977106,0.01077188295977106,0.03958189772638107,0.11599389456032992,[],"[0.00798744520957617, 0.02459932756548489, 0.007679287484587049, 0.007509506077018081, 0.0015187521743599398, 0.00710239839277082, 0.00122331262942308]","[0.018309343848389135, 0.030238593785173788, 0.01672163647208241, 0.015285980604816393, 0.010870518112592169, 0.012347703245018968, 0.01222011849225706]"
50%,"Total variation
 distance",default,0.1883/0.1526,0.1352/0.3747,-,0.1791/0.1663,0.117/0.1671,-,0.1693/0.0313,0.0655/0.2749,0.1916/0.0247,,0.1949085984534515,0.1949085984534515,0.7907328913251117,3.429074057352444,[],"[0.15261301652058437, 0.37472965440038214, 0.16629324039380963, 0.16705546465243745, 0.03134318920730046, 0.27492007321644135, 0.02469394735236479]","[0.4934920345805437, 0.884611882961881, 0.5116571165895825, 0.45108666297684186, 0.2319854325539646, 0.6153019519688403, 0.2409389757207902]"
50%,"Jensen-Shannon
 divergence",default,0.0511/0.0451,0.0378/0.0868,-,0.0475/0.0531,0.0451/0.0546,-,0.0491/0.0227,0.0381/0.0769,0.0525/0.0199,,0.05192600633498037,0.05192600633498037,0.23149300353106156,0.6802736142094384,[],"[0.04507341595467675, 0.08679543043046167, 0.053062111199198306, 0.054631201794462056, 0.02274338294785493, 0.07694221946582835, 0.01988623259968026]","[0.09612732306492594, 0.12455131729633989, 0.10059415827505966, 0.09970327711032753, 0.07186043437811632, 0.1150102509144411, 0.07242685317022798]"
70%,"Hellinger
 distance",default,1.0145/0.8696,0.7385/1.7256,-,0.9483/1.0575,0.884/1.0619,-,0.9842/0.4415,0.7178/1.4949,1.0429/0.4062,,1.0239712571795843,1.0239712571795843,4.552504317610458,13.387251270677037,[],"[0.8695595752243495, 1.7255992318913052, 1.0574884652948153, 1.0618600688798516, 0.4414991755570905, 1.4948700448565808, 0.40618955915775234]","[1.8840557454320934, 2.46408608022915, 2.005798946121162, 1.9458264248009862, 1.4256887638645956, 2.2126813903183002, 1.4491139199107517]"
70%,"Wasserstein
 distance",default,0.0146/0.0107,0.0076/0.0303,-,0.013/0.0122,0.0111/0.0107,-,0.0138/0.0021,0.0074/0.0103,0.0156/0.0021,,0.014892119975435509,0.014892119975435509,0.05410202352754538,0.16134598020739366,[],"[0.0107435629727042, 0.03025328894965008, 0.01223606029022363, 0.010673411506297092, 0.0020529031442975696, 0.010337185639390642, 0.0021233946016565495]","[0.02534030636449023, 0.03783305982339253, 0.02518776375740791, 0.02174014217490357, 0.015848388600533468, 0.017705834724265512, 0.017690484762400455]"
70%,"Total variation
 distance",default,0.2638/0.2099,0.2032/0.453,-,0.2509/0.2293,0.1536/0.2313,-,0.2427/0.0426,0.0863/0.3852,0.2646/0.0405,,0.26943938050700733,0.26943938050700733,1.0653806140615143,4.648853552589362,[],"[0.20988869220130324, 0.45303540067929715, 0.22931336133794158, 0.2313105406967309, 0.04260867913338108, 0.3852491864343036, 0.040476606626056476]","[0.6835285493939117, 1.1093074368486664, 0.7095284976110398, 0.6162641917301863, 0.32787138764880125, 0.8567874670408298, 0.34556602231592637]"
