Features,Droped_Attrib,Baseline,FPRD,FPRD_after,FPRD_diff,SPD,SPD_after,SPD_Diff,DIR,DIR_after,DIR_diff,AOD,AOD_after,AOD_diff,FPR,FPR_after,FPR_diff,SP,SP_after,SP_diff,acc_,acc_after,acc_diff,Pre,Pre_after,Pre_diff,Re,Re_after,Re_diff,F1,F1_after,F1_diff,Rank1,Rank2,Ranking,Ranking2_after,Ranking_before,p_value,delta
exang,['age'],fairSMOTE,-0.1977,-0.0643,0.1334,0.5577,0.2941,-0.2636,0.3158,0.6519,0.3361,0.0586,0.0109,-0.0477,0.1179,0.4518,0.3339,0.4343,0.6527,0.2184,84.51,67.87,-0.1663,85.98,64.47,-0.2151,80.16,86.71,0.0655,82.31,72.06,-0.1025,0.27339742298590075,0.004040422524558162,67.67,289.44,331.11,0.6744240722352938,0.12
exang,['ca'],fairSMOTE,-0.157,-0.0587,0.0983,0.5324,0.2712,-0.2612,0.3371,0.6926,0.3555,0.1012,0.0126,-0.0886,0.1536,0.5004,0.3468,0.4408,0.6732,0.2324,81.14,64.86,-0.1628,80.95,61.2,-0.1975,76.86,85.6,0.0874,78.32,69.65,-0.0867,0.23664937829386362,0.004130908591414459,57.29,279.6,315.52,0.6744240722352938,0.12
exang,['oldpeak'],fairSMOTE,-0.175,0.0282,0.2032,0.5447,0.235,-0.3097,0.3169,0.7028,0.3859,0.0699,0.0477,-0.0223,0.1236,0.4522,0.3286,0.431,0.6411,0.2101,83.48,67.26,-0.1623,85.35,64.25,-0.211,78.77,85.03,0.0626,81.21,71.25,-0.0996,0.2617819778010306,0.004818205248768539,54.33,286.17,327.06,0.5995101785600032,0.16
exang,['restecg'],fairSMOTE,-0.2327,-0.0888,0.1439,0.5725,0.2771,-0.2954,0.3003,0.6545,0.3542,0.0511,-0.0245,-0.0756,0.1242,0.4298,0.3056,0.4345,0.6346,0.2001,83.83,68.47,-0.1536,85.29,65.43,-0.1986,79.5,85.31,0.0581,81.65,72.11,-0.0954,0.2756123269705588,0.00399371505985575,69.01,289.63,328.29,0.6744240722352938,0.12
exang,['thal'],fairSMOTE,-0.2515,-0.0325,0.219,0.5604,0.3199,-0.2405,0.2905,0.5814,0.2909,0.0434,0.0441,0.0008,0.1241,0.2892,0.1651,0.4108,0.5199,0.1091,81.45,73.84,-0.0761,84.97,70.64,-0.1433,75.05,78.75,0.037,78.82,73.34,-0.0548,0.30128912470857944,0.0024072347414225434,125.16,295.21,318.26,0.5995101785600032,0.16
fbs,None,fairSMOTE,0.0975,0.2735,0.176,0.2677,0.2462,-0.0214,1.1324,1.2765,0.1441,0.0627,0.0932,0.0305,0.1236,0.4215,0.2979,0.4377,0.6293,0.1916,84.17,69.09,-0.1508,85.32,66.05,-0.1927,80.16,85.41,0.0525,81.96,72.56,-0.0939,0.2828463845722295,0.053070587626941,5.33,290.34,329.62,0.8336348830246822,0.06
fbs,['age'],fairSMOTE,0.0879,0.3178,0.2299,0.264,0.2802,0.0162,1.1179,1.2272,0.1093,0.0579,0.1193,0.0614,0.1179,0.4577,0.3398,0.4343,0.6354,0.2011,84.51,65.97,-0.1854,85.98,63.72,-0.2226,80.16,83.04,0.0288,82.31,69.92,-0.1239,0.24404366696051483,0.08900597485133364,2.74,279.64,331.02,0.8336348830246822,0.06
fbs,['ca'],fairSMOTE,0.0897,0.2629,0.1732,0.2801,0.2794,-0.0007,1.2665,0.7233,-0.5432,0.0491,0.0164,-0.0328,0.1536,0.4456,0.292,0.4408,0.6316,0.1908,81.14,66.8,-0.1434,80.95,63.53,-0.1742,76.86,83.24,0.0638,78.32,69.89,-0.0843,0.24685403893424485,0.009403557187637104,26.25,281.64,315.18,0.34456236532569795,0.28
fbs,['oldpeak'],fairSMOTE,0.098,0.2589,0.1609,0.2631,0.2251,-0.038,1.1539,1.1647,0.0109,0.055,0.1226,0.0676,0.1236,0.3759,0.2523,0.431,0.589,0.158,83.48,70.22,-0.1326,85.35,69.19,-0.1616,78.77,82.21,0.0344,81.21,72.69,-0.0852,0.290352915246225,0.061790763341836606,4.7,291.55,326.84,0.6744240722352938,0.12
fbs,['restecg'],fairSMOTE,0.098,0.2583,0.1603,0.2636,0.2424,-0.0212,1.1259,1.2068,0.0809,0.0663,0.0999,0.0337,0.1242,0.3841,0.2599,0.4345,0.6016,0.1671,83.83,70.24,-0.1358,85.29,68.8,-0.1649,79.5,84.04,0.0454,81.65,73.16,-0.0849,0.29713124678204766,0.049914913185570065,5.95,293.55,328.26,0.7527138062630524,0.09
fbs,['thal'],fairSMOTE,0.0617,0.2043,0.1426,0.2473,0.3225,0.0752,0.9947,1.1294,0.1347,0.0592,0.0641,0.0049,0.1241,0.2856,0.1615,0.4108,0.5216,0.1108,81.45,74.18,-0.0727,84.97,69.72,-0.1525,75.05,78.92,0.0387,78.82,73.22,-0.056,0.2988601505261,0.023790009393474608,12.56,293.72,318.51,0.7527138062630524,0.09
oldpeak,None,fairSMOTE,-0.0846,-0.2273,-0.1427,0.5365,0.2701,-0.2664,0.1675,0.6566,0.4891,0.0627,-0.0887,-0.1514,0.1236,0.4096,0.286,0.4377,0.6239,0.1861,84.17,69.17,-0.15,85.32,67.05,-0.1827,80.16,84.64,0.0448,81.96,72.41,-0.0955,0.2842601082839091,0.010332511166840015,27.51,291.12,330.38,0.5286121252556877,0.19
oldpeak,['age'],fairSMOTE,-0.0989,-0.1466,-0.0477,0.5365,0.2663,-0.2702,0.1493,0.6607,0.5114,0.0556,-0.0309,-0.0864,0.1179,0.3832,0.2653,0.4343,0.6087,0.1744,84.51,71.0,-0.1351,85.98,69.39,-0.1659,80.16,84.65,0.0449,82.31,73.89,-0.0843,0.3080978740514306,0.006319908152301814,48.75,297.05,331.7,0.5995101785600032,0.16
